"","study","trial","year","cultivar","reaction","location","state","n","AI","group","n_spray","n_spray2","yield_check","sev_check","sev","V_sev","publication","mean_trial","cons_group"
"1",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2838,38.8,38.8,17.4241126084,"Artigo","18.47","6"
"2",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,16.6,17.4241126084,"Artigo","18.47","6"
"3",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,18.9,17.4241126084,"Artigo","18.47","6"
"4",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2838,38.8,19.5,17.4241126084,"Artigo","18.47","6"
"5",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2838,38.8,13.9,17.4241126084,"Artigo","18.47","6"
"6",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3085,34.9,34.9,29.6593516816,"Artigo","15.74","6"
"7",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,17.5,29.6593516816,"Artigo","15.74","6"
"8",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,12.8,29.6593516816,"Artigo","15.74","6"
"9",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,3085,34.9,15.3,29.6593516816,"Artigo","15.74","6"
"10",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,3085,34.9,9.4,29.6593516816,"Artigo","15.74","6"
"11",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2838,38.8,38.8,21.5092632134641,"Artigo","18.186250000000001","5"
"12",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,19.01,21.5092632134641,"Artigo","18.186250000000001","5"
"13",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,17.46,21.5092632134641,"Artigo","18.186250000000001","5"
"14",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,20.95,21.5092632134641,"Artigo","18.186250000000001","5"
"15",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,14.74,21.5092632134641,"Artigo","18.186250000000001","5"
"16",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,14.74,21.5092632134641,"Artigo","18.186250000000001","5"
"17",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,16.3,21.5092632134641,"Artigo","18.186250000000001","5"
"18",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3085,34.9,34.9,19.9580905806434,"Artigo","17.493749999999999","5"
"19",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,18.85,19.9580905806434,"Artigo","17.493749999999999","5"
"20",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,12.91,19.9580905806434,"Artigo","17.493749999999999","5"
"21",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,20.24,19.9580905806434,"Artigo","17.493749999999999","5"
"22",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,13.96,19.9580905806434,"Artigo","17.493749999999999","5"
"23",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,18.15,19.9580905806434,"Artigo","17.493749999999999","5"
"24",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,17.8,19.9580905806434,"Artigo","17.493749999999999","5"
"25",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"AACHECK","Check",0,0,4984,5.93,5.93,1.260578790025,"Artigo","2.1549999999999998","5"
"26",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,0.72,1.260578790025,"Artigo","2.1549999999999998","5"
"27",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,1.35,1.260578790025,"Artigo","2.1549999999999998","5"
"28",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,2.76,1.260578790025,"Artigo","2.1549999999999998","5"
"29",3,6,2005,"BRSLouro","MR","Lages","SC",4,"AACHECK","Check",0,0,1835,12.71,12.71,0.2780874756,"Artigo","5.17","5"
"30",3,6,2005,"BRSLouro","MR","Lages","SC",4,"TEBU","DMI",1,1,1835,12.71,3.36,0.2780874756,"Artigo","5.17","5"
"31",7,16,2010,"CD114","MS","Toledo","PR",4,"AACHECK","Check",0,0,2847.3,4.14,4.14,0.479800083298626,"Artigo","NA","5"
"32",7,16,2010,"CD114","MS","Toledo","PR",4,"TEBU","DMI",1,1,2847.3,4.14,0.59,0.479800083298626,"Artigo","NA","5"
"33",10,19,2011,"BRS208","MS","Castro","PR",4,"AACHECK","Check",0,0,3610,13.7,13.7,3.51936693044565,"Boletim","NA","4"
"34",10,19,2011,"BRS208","MS","Castro","PR",4,"CARB","MBC",2,2,3610,13.7,8.7,3.51936693044565,"Boletim","NA","4"
"35",10,19,2011,"BRS208","MS","Castro","PR",4,"PROP","DMI",2,2,3610,13.7,9.9,3.51936693044565,"Boletim","NA","4"
"36",10,19,2011,"BRS208","MS","Castro","PR",4,"TEBU","DMI",2,2,3610,13.7,8.5,3.51936693044565,"Boletim","NA","4"
"37",10,19,2011,"BRS208","MS","Castro","PR",4,"TEBU","DMI",2,2,3610,13.7,9.6,3.51936693044565,"Boletim","NA","4"
"38",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"AACHECK","Check",0,0,2718,7.7,7.7,6.93591211995002,"Boletim","NA","4"
"39",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"CARB","MBC",2,2,2718,7.7,1.2,6.93591211995002,"Boletim","NA","4"
"40",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"PROP","DMI",2,2,2718,7.7,1.8,6.93591211995002,"Boletim","NA","4"
"41",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"TEBU","DMI",2,2,2718,7.7,1.3,6.93591211995002,"Boletim","NA","4"
"42",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"TEBU","DMI",2,2,2718,7.7,1.2,6.93591211995002,"Boletim","NA","4"
"43",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2569,1.3,1.3,0.469856309870887,"Boletim","NA","4"
"44",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,2569,1.3,0.4,0.469856309870887,"Boletim","NA","4"
